"","ISO3","AGE GROUPS","TBI.prev.2001","TBI.prev.2006","TBI.prev.2011","TBI.prev.2016"
"277","ECU","15-24",0.0756631290390828,0.0555981254900356,0.045936037779324,0.0329486802798988
"278","ECU","25-54",0.302142980336599,0.250112519357995,0.202656197753822,0.151565491865841
"279","ECU","55-64",0.63847866845921,0.538860452578293,0.448906876157838,0.342253816376253
"280","ECU","65+",0.873626465073439,0.819422521607242,0.71354251683596,0.547209212723595
"281","EGY","0-14",0.00799607107863881,0.00580303984814737,0.00452628490593359,0.00398225672185712
"282","EGY","15-24",0.0259927116415561,0.0190537466748023,0.0152369241777163,0.0118558947661984
"283","EGY","25-54",0.145587731913133,0.114369131823783,0.0879925300591568,0.0697216690443073
"284","EGY","55-64",0.382669796677246,0.29787395688098,0.216045308393004,0.17718053863819
"285","EGY","65+",0.647401294888562,0.577017585089006,0.442737205522611,0.363592777857423
"286","ERI","0-14",0.0288139462331995,0.0278328853694259,0.0229073486562917,0.0176865559616291
"287","ERI","15-24",0.0900249631725204,0.0801517386151732,0.065284022614131,0.0682801121404625
"288","ERI","25-54",0.382010645544815,0.315235200625481,0.262985638978214,0.234361591331355
"289","ERI","55-64",0.70531295386566,0.63760837759188,0.56545610150418,0.470639049357984
"290","ERI","65+",0.883181665559833,0.84716894867897,0.748677103696565,0.717984625438101
"291","ESP","0-14",0.00423721920113569,0.00383346445571735,0.00338384567261252,0.00295551696343585
"292","ESP","15-24",0.0120374503993311,0.00913660732728591,0.00821065288032873,0.00839642869450732
"293","ESP","25-54",0.0528630945777157,0.0443378311176684,0.0356756935587545,0.0303795566676
"294","ESP","55-64",0.116920027194652,0.0952076636053816,0.0727655733920151,0.0617915706411987
"295","ESP","65+",0.20654140628328,0.17970324351683,0.142495382633919,0.116401041979523
"296","EST","0-14",0.00835665446436519,0.00861246184885466,0.00711145037623059,0.00532797530176233
"297","EST","15-24",0.024685735213455,0.0176262029844521,0.0141519514846762,0.0124067531416939
"298","EST","25-54",0.0970365206477172,0.0795854345923225,0.0654498293914533,0.0522301311309756
"299","EST","55-64",0.145372594296529,0.104865313858516,0.152004741799016,0.120090527609866
"300","EST","65+",0.306656110270972,0.261673017662529,0.1954326005344,0.165787918189798
"301","ETH","0-14",0.0455379695951349,0.0489631988802646,0.0377877452959754,0.0263990712008527
"302","ETH","15-24",0.166159201639283,0.143865319796545,0.117213031766882,0.0972469906148794
"303","ETH","25-54",0.559652578197379,0.477555097927805,0.3962762758197,0.334696589239793
